mode,N,iterations,threads,time_seconds
serial,4096,50,1,0.000826432
serial,4096,50,1,0.000799429
serial,4096,50,1,0.000810106
parallel,4096,50,12,0.033669783
parallel,4096,50,12,0.025953019
parallel,4096,50,12,0.022390619
serial,16384,100,1,0.004480991
serial,16384,100,1,0.003172391
serial,16384,100,1,0.003501245
parallel,16384,100,12,0.042139843
parallel,16384,100,12,0.035753831
parallel,16384,100,12,0.020110596
serial,65536,201,1,0.030629435
serial,65536,201,1,0.028817700
serial,65536,201,1,0.022939379
parallel,65536,201,12,0.053114168
parallel,65536,201,12,0.063225961
parallel,65536,201,12,0.044710731
serial,262144,402,1,0.142034959
serial,262144,402,1,0.132887077
serial,262144,402,1,0.151952678
parallel,262144,402,12,0.085267568
parallel,262144,402,12,0.084059442
parallel,262144,402,12,0.077399268
serial,1048576,804,1,0.750049947
serial,1048576,804,1,0.739907510
serial,1048576,804,1,0.691512924
parallel,1048576,804,12,0.324768018
parallel,1048576,804,12,0.422129816
parallel,1048576,804,12,0.497515973
serial,4194304,1608,1,9.389888535
serial,4194304,1608,1,9.476829819
serial,4194304,1608,1,9.523867432
parallel,4194304,1608,12,5.344668967
parallel,4194304,1608,12,5.366214005
parallel,4194304,1608,12,5.407869886
serial,16777216,3216,1,80.784658748
serial,16777216,3216,1,82.383942562
serial,16777216,3216,1,82.389992667
parallel,16777216,3216,12,45.284909621
parallel,16777216,3216,12,45.337080013
parallel,16777216,3216,12,45.743072319
serial,67108864,6433,1,676.779612023
serial,67108864,6433,1,700.121882157
serial,67108864,6433,1,683.090935433
parallel,67108864,6433,12,359.548355754
parallel,67108864,6433,12,361.173299113
parallel,67108864,6433,12,362.237765679
serial,268435456,12867,1,5568.275220704
serial,268435456,12867,1,5381.848597927
serial,268435456,12867,1,4585.340104596
parallel,268435456,12867,12,2997.984075229
parallel,268435456,12867,12,3098.563727587
parallel,268435456,12867,12,2959.509829824
